id,isbn,title,catalogue,cutter,pub_date,copy_info,fail,note,reprint,delete,location
1,9789864340804,7天學會大數據資料處理 NoSQL：MongoDB入門與活用,312.7565,8344,2016,,fail,,,,
2,9789865022471,TensorFlow自然語言處理：善用 Python 深度學習函式庫，教機器學會自然語言,312.932P97,4242,2019,,fail,,,,
3,9789863125501,Deep learning 深度學習必讀：Keras 大神帶你用 Python 實作,312.32P97,864,2019,,,,,,
4,9789570852332,黃仁宇的大歷史觀(黃仁宇一百週年誕辰，首次結集生前未出版專論紀念版),610,8364,2019,,fail,,,,
5,9789570851991,中國大歷史（暢銷10萬本重新校訂新版）,610,4423,2019,,,,,,
6,9789570851519,反民主：選票失能、理性失調，反思最神聖制度的狂亂與神話！,571.6,2614,2018,,,,,,
7,9789573284383,獨裁者手冊：解析統治權力法則的真相（為什麼國家、公司領導者的「壞行為」永遠是「好政治」？）,571.76,4444,2019,,,,,,
8,9789864342815,圖說演算法：使用Python,312.32P97,8866,2018,,,,,,
9,9789861343228,知識的假象：為什麼我們從未獨立思考？,176.4,4236,2018,,,,,,
10,9789864768813,現代演算法：原來理解演算法並不難,312.931,9134,2018,,,,,,
11,9789864342945,無瑕的程式碼：整潔的軟體設計與架構篇,312.2,7110,2018,,,,,,
12,9789864342099,無瑕的程式碼（敏捷完整篇）物件導向原則、設計模式與C#實踐,312.92,8354,2017,,fail,,,,
13,4717702045197,史蒂芬．金談寫作,811.1,8010,2006,,fail,,,,
14,9789864340484,程式設計範式與OOP的思考術：冒號老師的十三堂課（中文原創經典）,312.2,460,2015,,fail,,,,
15,9789864764716,實戰聊天機器人Bot開發：使用Node.js,312.1695,2244,2017,,,,,,
16,9789864341375,Kali Linux無線網路滲透測試,312.76,447,2016,,fail,,,,
17,9789869276115,完美廚藝全書: 一看就懂的1000個料理關鍵字,427,2760,2016,,fail,,,,
18,9789864342686,敏捷方程式：成就敏捷之路,312.2,7711,2017,,fail,,,,
19,9789864340798,跨視窗尺寸網頁設計實錄：All about RWD（Responsive Web Design）,312.1695,8579,2015,,fail,,,,
20,9789864760978,Kubernetes使用指南,312.54,240,2016,,fail,,,,
21,9789866009716,Evernote 100個做筆記的好方法 : 數位化重整你的工作與人生  (電子書),312.7,6024,2013,,,ebook,,,博客來
22,9789869547314,為什麼一流主管都用跨頁週間行事曆？ (電子書),494.2,8575,2017,,,ebook,,,博客來
23,9789865775773,經穴大全  (電子書),413.915,4143,2014,,,ebook,,,博客來
24,9789863772804,人體機能解剖全書vol.1  (電子書),397,1253,2017,,,ebook,,,博客來
25,9789869553285,好音樂的科學II：從古典旋律到搖滾詩篇──看美妙樂曲如何改寫思維、療癒人心,910,2751,2018,,fail,,,,
26,9789865695521,好音樂的科學,910,8733,2016,,,,,,
27,9575681622,室內園藝,435.1,4014,1993,,,,,,
28,4717702089290,神奇的手帳整理魔法,479.9,2632,2015,,,,,,
29,9787095583137,音響論壇300期紀念特刊：音響調聲學,471.9,764,2014,,fail,,,,
30,9789864050116,Make: Technology on Your Time 18 (國際中文版),400,8024,2015,v.18,,,,,
31,9789864050130,Make: Technology on Your Time 19 (國際中文版),400,7743,2015,v.19,fail,,,,
32,9789861546643,電子學(上冊)(第八版)(附Multisim範例光碟片),448.6,2322,2008,v.1,fail,,,,
33,9789861547619,電子學(下冊)(第八版)(附Multisim範例光碟片),448.6,2322,2008,v.2,fail,,,,
34,9789577023360,心理學 (第二版),170,4420,1999,,,,,,
35,9789571324227,辯論高手,177.1,8825,1997,,,,,,
36,4717702089757,超高效心智圖學習法（改版）,521.1,4022,2016,,fail,,,,
37,9789577490872,亞克力塑膠原理與實用,467.4,8263,1996,,fail,,,,
38,9787562840855,常用日語句型例解與辨析（第二版）,803.169,4444,2015,,,cn,,,
39,9789570387339,異域鎮魂曲完全冒險指南,997.82,2819,2015,,fail,,,,
40,9780596155513,Getting Started with Arduino,471.516,O63B35,2009,,fail,handout,,,
41,9780131100800,Digital Electronic with VHDL,621.381,2754,2004,v.1,fail,en,,,
42,9780131219311,Digital Systems 9/e,621.381,T631,2004,,fail,en,,,
43,9780071155953,"Data Structures,Algorithms,& A pplications in C++",312.73,S24,1998,,fail,en,,,
44,9861573216,TCP/IP協定,312.9162,8766,2006,,fail,,,,
45,9780130324955,Electric circuits 6/e,337,N712,2001,,fail,en,,,
46,9789867198532,UML 物件導向系統分析與設計,312.92,7160,2006,,fail,,,,
47,9780321303479,The ZEN of CSS Design,312.1695,S477,2005,,fail,en,,,
48,9789866387074,無線網路安全攻防實戰(平裝),312.76,4652,2009,,fail,,,,
49,9780471283249,Fundamentals of Physics 5/e,337.9,A465,2001,,fail,en,,,
50,9780393322767,Hand Tools ─ Their Ways and Workings,371.33,F495,2002,,fail,en,,,
51,9789576365164,作業系統槪念 3/e,312.953,8445,1992,,fail,,,,
52,9780024097309,Introduction to Materials Science for Engineers,440.23,S515,1988,,fail,en,,,
53,9780471153689,Medical Instrumentation 3e,410.35,5446,1997,,fail,en,,,
54,9780201752953,Concepts of Programming Languages,312.93,S443,2002,,fail,en,,,
55,9780030186820,"An Introduction To Language, 6e",805.101,F931,1998,,fail,en,reprint,,
56,9789862761359,MIS網管實戰寶典：Linux老鳥這樣搞定機房大小事,312.16,6037,2011,,fail,,,,
57,9789863470151,Nagios：打造企業級網管監控系統,312.1653,2714,2014,,fail,,,,
58,9789861818511,鳥哥的Linux私房菜--基礎學習篇(第三版)(附DVD)(平裝),312.54,8455,2010,,,,,,
59,9789862763209,鳥哥的Linux私房菜：伺服器架設篇（第三版）（附光碟）(平裝附數位影音光碟),312.54,8455,2011,,,,,,
60,9789862014004,Linux Network Programming-網路程式設計(平裝),312.712,8336,2010,,fail,,,,
61,9789575278786,FreeBSD 6.0架設管理與應用,312.953,1020,2005,,fail,,,,
62,9789572241936,一次擁有Linux雙認證：LPIC Level 2+Novell CLP11自學手冊,312.54,4652,2013,,fail,,,,
63,9789862761694,作業系統開發實戰手冊：以開發一個視窗多工作業系統為例(平裝附光碟片),312.54,8734,2011,,fail,,,,
64,9789862766675,演算法（第四版）：使用C++虛擬碼,312.31,8777,2013,,fail,,,,
65,9789862768600,CI（Continuous integration）關鍵技術：使用 Jenkins,312.2,8727,2013,,fail,,,,
66,9789862017050,無瑕的程式碼：敏捷軟體開發技巧守則,312.2,8354,2013,,fail,,,,
67,9789865740382,笑談軟體工程：例外處理設計的逆襲,312.2,7514,2014,,fail,,,,
68,9789866072956,笑談軟體工程：敏捷開發法的逆襲,312.2,7514,2012,,fail,,,,
69,9789862760116,大象：Thinking in UML（第二版）,312.2,8439,2013,,fail,,,,
70,9789862015827,遊戲設計概論（第三版）,312.8,8455,2012,,fail,,,,
71,9789864340804,活到幾歲都要學: 銀髮爸媽第一次玩平板電腦就上手,312.7565,8344,2016,,fail,,,delete,
72,9789862760956,學習SQL 的15堂課(平裝),312.7565,8246,2011,,fail,,,,
73,9789862767436,搞懂NoSQL的15堂課（NoSQL Distilled中文版）,312.74,3254,2013,,fail,,,,
74,9789862019306,我的程式碼會說話,312.3,1030,2014,,fail,,,,
75,9789863473060,高品質程式：軟體測試原則、實作與模式,312.23,8534,2014,,fail,,,,
76,9789572054024,物件導向設計模式,312.92,1325,2001,,fail,,,,
77,9789862017074,培養與鍛鍊程式設計的邏輯腦：程式設計大賽的解題策略基礎入門,312.2,8367,2013,,,,,,
78,9789862018200,設計模式的解析與活用,312.2,8336,2013,,fail,,,,
79,9789862760451,演算法之道--讓你學不會演算法都難(平裝),318.1,8735,2010,,fail,,,,
80,9789867139672,木工職人刨修技法—打造超人氣木作必備參考書,474.3,4872,2012,,,,,,
81,9789866360718,親手打造~木作小食器,474.57,3334,2012,,,,,,
82,9789867167811,木工DIY家具：打造一輩子的好伙伴,474.3,4054,2009,,,,,,
83,9789571048079,宅。設計：20 x 20 原來如此的住宅建築原理,441.58,4073,2012,,,,,,
84,9789862019405,深入淺出Node.js,312.1695,4310,2014,,fail,,,,
85,9789862019788,從零開始學Swift程式設計,312.2,8566,2014,,fail,,,,
86,9789572241004,作業系統概論,312.54,4652,2013,,fail,,,,
87,9789862768440,駭客攻防實錄,312.76,8343,2013,,,,,,
88,9789864760572,R資料採礦與數據分析：以 GUI 套件 Rattle 結合程式語言實作,512.4,8723,2016,,fail,,,,
89,9780679766117,The Complete Manual of Woodworking,474,J12,2001,,fail,en,reprint,,
90,9789866029172,從零開始學木工：基礎到專業，最詳細的工具介紹＋環保家具DIY,474.3,2091,2013,,,,,,
91,9789863477983,用Arduino全面打造物聯網,471.516,1279,2015,,,,,,
92,9789863120841,超圖解 Arduino 互動設計入門,471.516,4942,2013,,fail,,,,
93,9789863472865,Android與8051單晶片應用開發實務,312.952,8067,2014,,fail,,,,
94,9789574423545,8051 單晶片徹底研究-入門篇,471.516,8774,2006,,,,,,
95,9789863476030,The C++ Programming Language國際中文版 第四版,312.32C,8855,2015,,fail,,,,
96,9789572206287,新 C 語言入門與進階,312.932C,4024,1991,,fail,,,,
97,9789572054437,C++ 程式語言 經典增訂版,312.32C,8855,2001,,fail,,,,
98,9789862763100,Java SE 7 技術手冊(平裝),312.32J3,8766,2010,,,,,,
99,9789863473145,"Android程式設計入門、應用到精通（第三版）（適用1.X～5.X, Android Wear穿戴式裝置）",312.52,8325,2014,,fail,,,,
100,9789866482274,Google！Android手機應用程式設計入門,312.952,8537,2009,,fail,,,,
101,9789863472186,Android 學習手冊（第二版）,448.845029,8547,2014,,fail,,,,
102,9789862019061,C＋＋沉思錄（Ruminations on C++：A Decade of Programming Insight and Experience）,312.32C,4174,2014,,fail,,,,
103,9789864761685,The Linux Programming Interface 國際中文版（下冊）,312.54,2714,2016,v.2,fail,,,,
104,9789863479116,流暢的Python：清晰、簡潔、有效的程式設計,312.932P97,5064,2016,,fail,,,,
105,9789863477105,高效能 Python 程式設計 (High Performance Python: Practical Performant Programming for Humans),312.32P9,5124,2015,,fail,,,,
106,9789862760703,精通Python 3程式設計（第二版）(平裝),312.32P97,7451,2010,,fail,,,,
107,9789863479819,Python 3 物件導向程式設計（第二版）,312.32P97,8572,2016,,fail,,,,
108,9789863477020,Effective Python 中文版 | 寫出良好 Python 程式的 59 個具體做法 (Effective Python: 59 Specific Ways to Write Better Python),312.32P97,8835,2015,,fail,,,,
109,9789863477808,黑帽Python: 給駭客與滲透測試者的Python開發指南,312.32P97,3044,2015,,fail,,,,
110,9789864340415,Python設計模式深入解析,312.32P97,8465,2015,,fail,,,,
111,9789864760244,測試驅動開發：使用 Python,312.32P97,8355,2016,,fail,,,,
112,9789861547534,重構—改善既有程式的設計(第二版) 1/e,312.2,8970,2008,,fail,,,,
113,9789862764916,SketchUp全方位3D建模實作（超值加贈影音教學及範例檔）,967.029,4622,2012,,fail,,,,
114,9789863476856,Raspberry Pi實例應用集,312.2,8464,2015,,fail,,,,
115,9789863478751,Minecraft模組設計：使用Java建立酷炫好玩的模組,312.8,8434,2016,,,,,,
116,9789861811918,jQuery 實戰手冊（第二版）(平裝),312.32J36,6022,2011,,,,,,
117,9789861994079,10天做好App：Corona SDK超直覺遊戲開發攻略！ 跨平台、低成本、超快完成,510.359,8956,2013,,,,,,
118,9789863473312,松本行弘談程式世界的未來,312.3,8347,2014,,fail,,,,
119,9789863475460,It's Django : 用Python迅速打造Web應用!,312.32P97,8757,2015,,fail,,,,
120,9789865617011,Linux硬體架構與指令之解析,312.54,7744,2015,,fail,,,,
121,9789866703140,從日本中小學課本學日文：附【東京音朗讀MP3】,803.18,7375,2009,,,,,,
122,9789863475392,Make感測器：運用Arduino和Raspberry Pi感測的專題與實驗,471.516,2122,2015,,fail,,,,
123,9789576670893,買保險的第一本書,563.73,8866,1998,,,,,delete,
124,9789863611400,冰與火之歌外傳：七王國的騎士,874.57,834,2015,,,,,,
125,9789861859750,冰與火之歌第五部：與龍共舞（上冊）,874.57,834,2014,v1,,,,,
126,9789861859767,冰與火之歌第五部：與龍共舞（中冊）,874.57,834,2014,v2,,,,,
127,9789861859774,冰與火之歌第五部：與龍共舞（下冊）,874.57,834,2014,v3,,,,,
128,9789863710455,成功vs.失敗麵包製作書,427.16,4450,2016,,,,,,
129,9789869458672,零失敗花樣饅頭，花捲與包子：家庭必備中式麵點食譜書，400張步驟圖保證成功！,427.16,3442,2017,,,,,delete,
130,9789575323134,日本語句型知惠袋（附2CD）,803.169,9066,2006,,fail,,,,
131,9789867694393,用聽的學日文文法(平裝附光碟片),803.16,1144,2005,,,,,,
132,9789868409873,日文結構訓練方法(下)句型與聽力(附MP3)(平裝),803.169,6787,2010,v.2,,,,,
133,9789868409866,日文結構訓練方法(上)句型與聽力(附MP3)(平裝),803.169,6787,2010,v.1,fail,,,,
134,9789862018644,3D列印無限可能：從打造自己的3D印表機到輸出個性化3D物件,477.7,8468,2014,,,,,,
135,9789868409804,日文結構的秘密《跨越初級障礙》(平裝),803.16,8566,2008,,fail,,,,
136,9789575322977,日本語文法知惠袋,803.16,8474,2005,,fail,,,,
137,9789575323028,日本語發音知惠袋（1書+ 2CD）,803.14,8474,2006,,fail,,,,
138,9789861451169,跟我說韓語,803.288,8689,2004,,fail,,,,
139,9789864177240,怎樣解題,310,4417,2006,,,,,,
140,9789863592198,寫字書：第一本輕鬆寫好字的工具書,523.314,466,2016,,fail,,,,
141,9789862355121,"最後一個知識人: 末日之後, 掌握重建文明社會的器物、技術與原理",300,733,2016,,,,,,
142,9789575613204,樂理超入門〔英漢對照〕附CD,911.1,1042,2009,,fail,,,,
143,9789869236850,世界記憶力冠軍的高效記憶筆記,176.33,8455,2016,,,,,,
144,9789575529673,最新三體書寫習字帖,943.97,8763,2011,,fail,,,,
145,9789575521202,鋼筆字臨摹範典,943.97,8763,1986,,,,,,
146,9789575521431,寫好鋼筆字的書,943.97,8763,1986,,fail,,,,
